Ca,Mg,K,S,N,Lime,C,P,Moisture
1.41,6.202,60.35,3,212.8,5.15,0.54,27,0.7
1.051,5.385,56.48,8,212.8,5.04,0.5,23,0.9
0.923,6.202,60.9,2,234.08,5.1,0.47,22,0.8
1.359,6.154,52.55,5,212.8,5.3,0.46,21,0.8
1.128,5.962,65.8,2,191.52,5.12,0.45,26,0.9
1.256,6.49,58.61,3,191.52,5,0.53,27,0.9
1.154,6.587,64.77,5,255.36,5.14,0.44,22,0.9
1.436,6.058,66.07,5,212.8,5.01,0.58,22,0.8
1.282,7.548,64.36,3,191.52,5.17,0.61,18,0.6
1.385,6.827,61.12,15,212.8,5.1,0.52,24,0.5
0.949,6.346,60.98,5,212.8,5.02,0.58,20,0.8
1.077,6.779,55.66,20,255.36,5.4,0.55,21,0.8
1.026,5.769,53.37,5,266,5.11,0.54,25,0.7
1.128,22.94,94.57,6,191.52,5.01,1.34,26,0.8
0.724,19.74,91.8,4,319.2,5.04,1.4,27,0.7
0.843,21.7,90.78,9,276.64,5.25,1.43,23,0.7
0.653,23.76,100.7,4,297.92,5.11,1.3,24,0.6
0.653,21.6,97.01,6,276.64,5.01,1.28,22,0.6
0.629,20.93,87.21,4,297.92,5.13,1.37,20,0.5
0.653,20.1,47.74,3,297.92,5.15,1.51,20,0.8
0.606,21.39,59.39,12,266,5.22,1.49,19,0.8
0.867,23.92,57.44,4,276.64,5.28,1.43,19,0.7
0.772,22.16,97.05,5,297.92,5.1,1.55,22,0.9
1.722,29.38,113.18,7,287.28,5.18,1.47,23,0.6
0.701,21.39,500.11,9,212.8,5.09,1.45,24,0.9
0.724,20.52,90.73,19,234.08,5.11,1.47,25,0.9
1.2,26.65,98.01,4,297.92,5.3,1.35,24,0.6
0.819,26.75,94.73,5,319.2,5.08,1.38,23,0.5
0.819,21.7,79.44,5,180.88,4.95,1.37,15,0.5
1.817,12.84,341.05,6,234.08,6.89,0.5,24,0.9
1.437,13.71,438.22,6,180.88,7.05,0.52,31,0.7
1.58,12.01,340.18,9,170.24,7.16,0.6,29,0.6
1.247,10.41,310.42,10,138.32,7.25,0.46,27,0.7
